ID: 124 | Disease: Blood Pressure | Title: "Kachumber Salad" | Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_024.jpg"
ID: 125 | Disease: Blood Pressure | Title: "Cucumber Carrot Salad" | Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_025.jpg"
ID: 126 | Disease: Blood Pressure | Title: "Indian Style Beet Salad" | Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_026.jpg"
ID: 127 | Disease: Blood Pressure | Title: "Sprouted Moong Salad" | Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_027.jpg"
ID: 128 | Disease: Blood Pressure | Title: "Mixed Vegetable Chaat" | Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_028.jpg"
ID: 129 | Disease: Blood Pressure | Title: "Boondi Raita" | Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_029.jpg"
ID: 130 | Disease: Blood Pressure | Title: "Cucumber Raita" | Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_030.jpg"
ID: 131 | Disease: Blood Pressure | Title: "Bottle Gourd Soup" | Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_031.jpg"
ID: 132 | Disease: Blood Pressure | Title: "Milagu Rasam (Hot Pepper Rasam)" | Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_032.jpg"
ID: 133 | Disease: Blood Pressure | Title: "Garlic Rasam" | Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_033.jpg"
ID: 134 | Disease: Blood Pressure | Title: "Green Moong Dal" | Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_034.jpg"
ID: 135 | Disease: Blood Pressure | Title: "Sweet Corn Soup" | Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_035.jpg"
ID: 136 | Disease: Blood Pressure | Title: "Carrot Soup" | Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_036.jpg"
ID: 137 | Disease: Blood Pressure | Title: "Indian Style Spinach Soup (Palak Shorba)" | Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_037.jpg"
ID: 138 | Disease: Blood Pressure | Title: "Indian Lentil Soup" | Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_038.jpg"
ID: 139 | Disease: Blood Pressure | Title: "Veg Clear Soup" | Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_039.jpg"
ID: 140 | Disease: Blood Pressure | Title: "Indian Tomato Soup" | Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_040.jpg"
ID: 141 | Disease: Blood Pressure | Title: "Oats Upma" | Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_041.jpg"
ID: 142 | Disease: Blood Pressure | Title: "Vegetable Poha" | Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_042.jpg"
ID: 143 | Disease: Blood Pressure | Title: "Kerala Style Vegetable Stew with Coconut Milk" | Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_043.jpg"
ID: 144 | Disease: Blood Pressure | Title: "Cucumber Curd Pachadi" | Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_044.jpg"
ID: 145 | Disease: Blood Pressure | Title: "Avial (Kerala Style Mixed Veg Curry)" | Category: "Lunch" | Image: "/images/bp/BPFoodItems_extracted/page_045.jpg"
ID: 146 | Disease: Blood Pressure | Title: "Traditional South Indian Spiced Rasam" | Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_046.jpg"
