Title: "Indian Paneer Capsicum Sabzi" | Raw Category: "Lunch" | Image: "/images/bp/BPFoodItems_extracted/page_073.jpg"
Title: "Moringa Drumstick Curry" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_074.jpg"
Title: "Gawar Ki Sabzi (Cluster Beans Curry)" | Raw Category: "Lunch" | Image: "/images/bp/BPFoodItems_extracted/page_075.jpg"
Title: "Indian Style Pumpkin Stir Fry (Kaddu Sabzi)" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_076.jpg"
Title: "Easy Mixed Vegetable Curry" | Raw Category: "Lunch" | Image: "/images/bp/BPFoodItems_extracted/page_077.jpg"
Title: "Gajar Matar Aloo Sabzi (Carrot Peas and Potato Curry)" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_078.jpg"
Title: "Cabbage Stir Fry (Patta Gobhi Ki Sabzi)" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_079.jpg"
Title: "Healthy South Indian Beans Poriyal" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_080.jpg"
Title: "Aloo Gobi" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_081.jpg"
Title: "Baingan Bharta" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_082.jpg"
Title: "Dry Karela Sabzi (Bitter Gourd Stir Fry)" | Raw Category: "Lunch" | Image: "/images/bp/BPFoodItems_extracted/page_083.jpg"
Title: "Baingan Bharta Style" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_084.jpg"
Title: "Palak Paneer (Indian Spinach Curry with Cheese)" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_085.jpg"
Title: "Bhindi Masala (Indian Okra Stir Fry)" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_086.jpg"
Title: "Stuffed Turai Sabzi (Ridge Gourd)" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_087.jpg"
Title: "Tinda Curry (Apple Gourd Sabji)" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_088.jpg"
Title: "Bottle Gourd Sabzi (Lauki Sabzi)" | Raw Category: "Lunch" | Image: "/images/bp/BPFoodItems_extracted/page_089.jpg"
Title: "Panchmel Dal (Five Lentil Soup)" | Raw Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_090.jpg"
Title: "Dal Palak (Spinach Lentils)" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_091.jpg"
Title: "Easy Black Eyed Peas Curry" | Raw Category: "Lunch" | Image: "/images/bp/BPFoodItems_extracted/page_092.jpg"
Title: "Pindi Chole" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_093.jpg"
Title: "Rajma Masala" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_094.jpg"
Title: "Sprouted Mung Salad" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_095.jpg"
Title: "Chana Dal" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_096.jpg"
Title: "Toor Dal Tadka" | Raw Category: "Lunch" | Image: "/images/bp/BPFoodItems_extracted/page_097.jpg"
Title: "Easy Masoor Dal" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_098.jpg"
Title: "Plain Moong Dal Khichdi" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_099.jpg"
Title: "Simple Stewed Apples with Cinnamon and Cardamom Extra" | Raw Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_002.jpg"
